F1,Accuracy,Recall,Precision,Query,Data,Dataset_size,Model,Round,Sample_size,Num_Labels,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime
0.52,0.66,0.66,0.43,Breaking_Ties,Claimbuster,23533,XLMR-Base,0,250,3,165,16308,7060,1.0,0.0008397457097835,0.0162479082281534,0.0070171385382876,14.23958158493042,149.97061800956726,"[0.6424242424242425, 0.2606060606060606, 0.09696969696969697]","[0.568, 0.276, 0.156]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 23:37:24
0.52,0.66,0.66,0.43,Breaking_Ties,Claimbuster,23533,XLMR-Base,1,250,3,415,16058,7060,2.52,0.002968414499743,0.0159640643049983,0.0070545090455097,35.501692056655884,147.85726237297058,"[0.5975903614457831, 0.26987951807228916, 0.13253012048192772]","[0.952, 0.032, 0.016]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 23:41:37
0.71,0.76,0.76,0.68,Breaking_Ties,Claimbuster,23533,XLMR-Base,2,250,3,665,15808,7060,4.04,0.0054015221905188,0.0151805234034233,0.007000780456188,56.91814827919006,145.565767288208,"[0.5263157894736842, 0.3849624060150376, 0.0887218045112782]","[0.468, 0.328, 0.204]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 23:46:10
0.73,0.78,0.78,0.8,Breaking_Ties,Claimbuster,23533,XLMR-Base,3,250,3,915,15558,7060,5.55,0.0077553680389948,0.0148428673546573,0.0070869618377828,78.40408873558044,143.31799912452698,"[0.4721311475409836, 0.40765027322404374, 0.12021857923497267]","[0.452, 0.284, 0.264]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 23:51:02
0.8,0.81,0.81,0.8,Breaking_Ties,Claimbuster,23533,XLMR-Base,4,250,3,1165,15308,7060,7.07,0.0093434727094941,0.0140499308809013,0.0071186130199594,99.79566836357117,141.09600591659546,"[0.4678111587982833, 0.3811158798283262, 0.15107296137339055]","[0.436, 0.316, 0.248]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 23:56:14
0.76,0.78,0.78,0.78,Breaking_Ties,Claimbuster,23533,XLMR-Base,5,250,3,1415,15058,7060,8.59,0.0130912892897702,0.0139130420952074,0.0071212229981081,121.3966829776764,138.79972338676453,"[0.44098939929328623, 0.3908127208480565, 0.16819787985865725]","[0.436, 0.348, 0.216]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-24 00:01:44
0.82,0.82,0.82,0.82,Breaking_Ties,Claimbuster,23533,XLMR-Base,6,250,3,1665,14808,7060,10.11,0.0147513920419067,0.0140784635140824,0.0070247589420497,142.84134912490845,136.39366173744202,"[0.4072072072072072, 0.3975975975975976, 0.19519519519519518]","[0.396, 0.36, 0.244]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-24 00:07:34
