F1,Accuracy,Recall,Precision,Query,Data,Dataset_size,Model,Round,Sample_size,Num_Labels,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime
0.03,0.12,0.12,0.03,Breaking_Ties,10k_Newsarticles,10273,XLMR-Base,0,250,9,72,7120,3081,1.0,0.0003833117531257,0.0076171585342345,0.0031253748818549,6.539949417114258,68.10612297058105,"[0.18055555555555555, 0.16666666666666666, 0.1388888888888889, 0.125, 0.125, 0.125, 0.08333333333333333, 0.041666666666666664, 0.013888888888888888]","[0.32, 0.248, 0.156, 0.116, 0.06, 0.056, 0.024, 0.016, 0.004]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-03-23 18:46:34
0.11,0.19,0.19,0.18,Breaking_Ties,10k_Newsarticles,10273,XLMR-Base,1,250,9,322,6870,3081,4.48,0.0024566882684126,0.0060278012782606,0.0028957386477276,28.20000696182251,65.90475106239319,"[0.2795031055900621, 0.2204968944099379, 0.15838509316770186, 0.11801242236024845, 0.062111801242236024, 0.055900621118012424, 0.043478260869565216, 0.040372670807453416, 0.021739130434782608]","[0.316, 0.26, 0.184, 0.096, 0.048, 0.036, 0.028, 0.02, 0.012]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-03-23 18:48:43
0.64,0.69,0.69,0.61,Breaking_Ties,10k_Newsarticles,10273,XLMR-Base,2,250,9,572,6620,3081,7.95,0.0050092013313936,0.0069161476550737,0.003114223852993,50.04295349121094,63.55785942077637,"[0.20454545454545456, 0.18006993006993008, 0.17307692307692307, 0.1660839160839161, 0.13111888111888112, 0.0472027972027972, 0.03496503496503497, 0.033216783216783216, 0.02972027972027972]","[0.236, 0.164, 0.16, 0.148, 0.112, 0.068, 0.04, 0.04, 0.032]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-03-23 18:51:11
