F1,Accuracy,Recall,Precision,Query,Data,Model,Round,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime,Dataset_size
0.8,0.81,0.81,0.8,Breaking_Ties,Claimbuster,XLMR-Base,15,915,15558,7060,5.55,0.0079721831585463,0.0145556466010676,0.006926856678594,78.80977320671082,146.74033427238464,"[0.4491803278688525, 0.35737704918032787, 0.19344262295081968]","[0.44, 0.34, 0.22]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 21:34:04,23533
0.56,0.66,0.66,0.67,Breaking_Ties,Claimbuster,XLMR-Base,16,965,15508,7060,5.86,0.0081385315320248,0.0146830247724919,0.0069142260935751,83.27061438560486,146.29513382911682,"[0.43730569948186526, 0.3616580310880829, 0.20103626943005182]","[0.62, 0.34, 0.04]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 21:39:19,23533
0.66,0.7,0.7,0.62,Breaking_Ties,Claimbuster,XLMR-Base,17,1015,15458,7060,6.16,0.0086077126713907,0.0153665980043583,0.0069003855507604,87.55842018127441,145.69479489326477,"[0.4463054187192118, 0.3605911330049261, 0.19310344827586207]","[0.54, 0.36, 0.1]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 21:44:39,23533
0.81,0.81,0.81,0.81,Breaking_Ties,Claimbuster,XLMR-Base,18,1065,15408,7060,6.47,0.0094738742174298,0.014962679644596,0.0064627065205554,92.00205707550047,145.19452571868896,"[0.4422535211267606, 0.36901408450704226, 0.18873239436619718]","[0.66, 0.22, 0.12]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 21:50:02,23533
0.8,0.81,0.81,0.8,Breaking_Ties,Claimbuster,XLMR-Base,19,1115,15358,7060,6.77,0.0092563315643481,0.0150547932003701,0.0068319847110962,96.34379053115843,144.86054611206055,"[0.45201793721973094, 0.36233183856502243, 0.18565022421524663]","[0.42, 0.36, 0.22]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 21:55:30,23533
0.82,0.82,0.82,0.81,Breaking_Ties,Claimbuster,XLMR-Base,20,1165,15308,7060,7.07,0.0102133417857968,0.0150653463589597,0.006289561674304,100.70389938354492,144.2528910636902,"[0.448068669527897, 0.3648068669527897, 0.1871244635193133]","[0.36, 0.32, 0.32]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 22:01:01,23533
0.76,0.78,0.78,0.76,Breaking_Ties,Claimbuster,XLMR-Base,21,1215,15258,7060,7.38,0.0100068525157754,0.0147326702205308,0.0065728688292211,104.95954871177672,143.93809413909912,"[0.4444444444444444, 0.362962962962963, 0.1925925925925926]","[0.44, 0.32, 0.24]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 22:06:36,23533
0.78,0.78,0.78,0.79,Breaking_Ties,Claimbuster,XLMR-Base,22,1265,15208,7060,7.68,0.0116223369192917,0.014409252409356,0.0063900614061397,109.43443989753725,143.60719466209412,"[0.4442687747035573, 0.3612648221343874, 0.19446640316205532]","[0.54, 0.24, 0.22]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 22:12:15,23533
0.66,0.71,0.71,0.62,Breaking_Ties,Claimbuster,XLMR-Base,23,1315,15158,7060,7.98,0.0113641303896176,0.0144034203532178,0.0064169928984405,113.94529700279236,143.0555226802826,"[0.4479087452471483, 0.355893536121673, 0.1961977186311787]","[0.5, 0.46, 0.04]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 22:17:58,23533
0.81,0.81,0.81,0.8,Breaking_Ties,Claimbuster,XLMR-Base,24,1365,15108,7060,8.29,0.0110346978631214,0.0138015866230739,0.006809734093573,118.3623912334442,142.53352999687195,"[0.44981684981684983, 0.3597069597069597, 0.19047619047619047]","[0.38, 0.34, 0.28]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 22:23:45,23533
0.82,0.82,0.82,0.81,Breaking_Ties,Claimbuster,XLMR-Base,25,1415,15058,7060,8.59,0.012264070772336,0.0146973140829075,0.0069487765532085,122.8028712272644,142.25473737716675,"[0.44734982332155476, 0.35901060070671376, 0.19363957597173145]","[0.38, 0.38, 0.24]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 22:29:36,23533
0.81,0.81,0.81,0.81,Breaking_Ties,Claimbuster,XLMR-Base,26,1465,15008,7060,8.89,0.0130247655991687,0.014411921292239,0.0068094433972977,127.05718398094176,141.559668302536,"[0.44505119453924913, 0.3597269624573379, 0.19522184300341297]","[0.52, 0.26, 0.22]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 22:35:31,23533
0.82,0.82,0.82,0.82,Breaking_Ties,Claimbuster,XLMR-Base,27,1515,14958,7060,9.2,0.0135150354767229,0.0148159934346658,0.0069982851179203,131.5288918018341,141.28605914115906,"[0.44752475247524753, 0.3551155115511551, 0.19735973597359735]","[0.5, 0.32, 0.18]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 22:41:29,23533
0.77,0.78,0.78,0.77,Breaking_Ties,Claimbuster,XLMR-Base,28,1565,14908,7060,9.5,0.014207958666812,0.0146665409490539,0.0068081491804226,135.74347019195557,140.73260951042175,"[0.44920127795527154, 0.3539936102236422, 0.19680511182108626]","[0.58, 0.26, 0.16]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 22:47:32,23533
0.8,0.81,0.81,0.8,Breaking_Ties,Claimbuster,XLMR-Base,29,1615,14858,7060,9.8,0.0141042451948634,0.0139670001989615,0.0068879110437185,140.13860607147217,140.2899124622345,"[0.45325077399380803, 0.3510835913312694, 0.1956656346749226]","[0.56, 0.24, 0.2]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 22:53:39,23533
