F1,Accuracy,Recall,Precision,Query,Data,Model,Round,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime,Dataset_size
0.53,0.66,0.66,0.44,Breaking_Ties,ClaimDetection,XLMR-Base,0,29,2903,1256,0.99,0.0001707590713825,0.0027870294135754,0.0010046119702988,2.8911004066467285,26.601051807403564,"[0.8275862068965517, 0.1724137931034483]","[0.94, 0.06]","[0.6616242038216561, 0.33837579617834396]",2023-02-24 16:34:53,4188
0.53,0.66,0.66,0.44,Breaking_Ties,ClaimDetection,XLMR-Base,1,79,2853,1256,2.69,0.0004305259766744,0.0022695198557642,0.0011385484205116,6.913834571838379,26.25420546531677,"[0.8987341772151899, 0.10126582278481013]","[0.58, 0.42]","[0.6616242038216561, 0.33837579617834396]",2023-02-24 16:35:57,4188
0.53,0.66,0.66,0.44,Breaking_Ties,ClaimDetection,XLMR-Base,2,129,2803,1256,4.4,0.0007043071031592,0.0027245910875406,0.0008839513075335,11.16572117805481,25.811983346939087,"[0.7131782945736435, 0.2868217054263566]","[0.78, 0.22]","[0.6616242038216561, 0.33837579617834396]",2023-02-24 16:37:03,4188
0.63,0.7,0.7,0.75,Breaking_Ties,ClaimDetection,XLMR-Base,3,179,2753,1256,6.11,0.0016702480211464,0.0026177801013483,0.0011568460248883,15.429962635040283,25.37535738945008,"[0.5754189944134078, 0.4245810055865922]","[0.76, 0.24]","[0.6616242038216561, 0.33837579617834396]",2023-02-24 16:38:13,4188
0.68,0.67,0.67,0.74,Breaking_Ties,ClaimDetection,XLMR-Base,4,229,2703,1256,7.81,0.0013705277704665,0.0019476285524662,0.0011717578769307,19.78751564025879,24.88003516197205,"[0.5021834061135371, 0.4978165938864629]","[0.74, 0.26]","[0.6616242038216561, 0.33837579617834396]",2023-02-24 16:39:27,4188
0.71,0.74,0.74,0.73,Breaking_Ties,ClaimDetection,XLMR-Base,5,279,2653,1256,9.52,0.0021253310038318,0.0024039645759463,0.0011519777301274,23.965670824050903,24.44388508796692,"[0.5448028673835126, 0.4551971326164875]","[0.62, 0.38]","[0.6616242038216561, 0.33837579617834396]",2023-02-24 16:40:45,4188
0.75,0.76,0.76,0.75,Breaking_Ties,ClaimDetection,XLMR-Base,6,329,2603,1256,11.22,0.0025619951314197,0.001896733885098,0.0011232337915749,28.36006689071656,23.97297430038452,"[0.5197568389057751, 0.48024316109422494]","[0.62, 0.38]","[0.6616242038216561, 0.33837579617834396]",2023-02-24 16:42:08,4188
0.71,0.74,0.74,0.73,Breaking_Ties,ClaimDetection,XLMR-Base,7,379,2553,1256,12.93,0.0035063447336727,0.0023785496325276,0.0011427596912818,32.57983422279358,23.529412984848022,"[0.5329815303430079, 0.46701846965699206]","[0.52, 0.48]","[0.6616242038216561, 0.33837579617834396]",2023-02-24 16:43:34,4188
