F1,Accuracy,Recall,Precision,Query,Data,Model,Round,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime,Dataset_size
0.72,0.77,0.77,0.68,Random_Sampling,Claimbuster,XLMR-Base,18,1065,15408,7060,6.47,0.0099182578615965,7.565134155719488e-08,0.0070016097389343,91.04194927215576,0.0048410892486572,"[0.6450704225352113, 0.24507042253521127, 0.10985915492957747]","[0.66, 0.2, 0.14]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:44:37,23533
0.72,0.76,0.76,0.7,Random_Sampling,Claimbuster,XLMR-Base,19,1115,15358,7060,6.77,0.010566618922328,1.496121369654181e-07,0.0070425192916079,95.3240430355072,0.0092144012451171,"[0.6457399103139013, 0.2430493273542601, 0.11121076233183856]","[0.64, 0.24, 0.12]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:47:37,23533
0.74,0.77,0.77,0.78,Random_Sampling,Claimbuster,XLMR-Base,20,1165,15308,7060,7.07,0.010344213340994,8.960908400038748e-08,0.0068235521153647,99.56547904014587,0.0057275295257568,"[0.6454935622317597, 0.2429184549356223, 0.11158798283261803]","[0.58, 0.24, 0.18]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:50:40,23533
0.69,0.74,0.74,0.65,Random_Sampling,Claimbuster,XLMR-Base,21,1215,15258,7060,7.38,0.0099396862067185,7.608548693983214e-08,0.0070646480966785,103.74336004257202,0.004897117614746,"[0.642798353909465, 0.24279835390946503, 0.11440329218106995]","[0.68, 0.26, 0.06]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:53:49,23533
0.75,0.78,0.78,0.77,Random_Sampling,Claimbuster,XLMR-Base,22,1265,15208,7060,7.68,0.0107485485469232,9.21129652026246e-08,0.0068736906111224,108.15375065803528,0.0049219131469726,"[0.6442687747035574, 0.24347826086956523, 0.11225296442687747]","[0.66, 0.26, 0.08]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:57:01,23533
0.75,0.79,0.79,0.82,Random_Sampling,Claimbuster,XLMR-Base,23,1315,15158,7060,7.98,0.0113080956715997,8.814295009903337e-08,0.0071470541801561,112.42510771751404,0.0046370029449462,"[0.6448669201520912, 0.244106463878327, 0.11102661596958174]","[0.62, 0.26, 0.12]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 13:00:18,23533
0.78,0.79,0.79,0.79,Random_Sampling,Claimbuster,XLMR-Base,24,1365,15108,7060,8.29,0.0117746698329,1.488198187943701e-07,0.0064968182232603,116.69639492034912,0.0090422630310058,"[0.643956043956044, 0.24468864468864468, 0.11135531135531136]","[0.48, 0.32, 0.2]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 13:03:39,23533
0.8,0.81,0.81,0.8,Random_Sampling,Claimbuster,XLMR-Base,25,1415,15058,7060,8.59,0.0129666180568339,9.10811103835676e-08,0.006290718740389,120.957759141922,0.0048911571502685,"[0.6381625441696113, 0.24734982332155478, 0.11448763250883393]","[0.74, 0.2, 0.06]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 13:07:04,23533
0.74,0.78,0.78,0.71,Random_Sampling,Claimbuster,XLMR-Base,26,1465,15008,7060,8.89,0.01345230102757,1.2151055333115566e-07,0.0069791220827182,125.2349889278412,0.0075619220733642,"[0.6416382252559727, 0.24573378839590443, 0.11262798634812286]","[0.68, 0.18, 0.14]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 13:10:34,23533
0.77,0.79,0.79,0.79,Random_Sampling,Claimbuster,XLMR-Base,27,1515,14958,7060,9.2,0.0127363878349676,8.876517804370589e-08,0.0064908822436665,129.49317121505737,0.0046284198760986,"[0.642904290429043, 0.24356435643564356, 0.11353135313531353]","[0.66, 0.2, 0.14]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 13:14:08,23533
0.71,0.75,0.75,0.67,Random_Sampling,Claimbuster,XLMR-Base,28,1565,14908,7060,9.5,0.0130055979497214,1.7752347312665317e-07,0.0069716387036386,133.76905012130737,0.0112090110778808,"[0.6434504792332268, 0.2402555910543131, 0.11629392971246007]","[0.6, 0.3, 0.1]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 13:17:46,23533
0.77,0.79,0.79,0.79,Random_Sampling,Claimbuster,XLMR-Base,29,1615,14858,7060,9.8,0.0141241220462277,7.455885794451586e-08,0.0065826839849255,138.16409254074097,0.004624605178833,"[0.6421052631578947, 0.24210526315789474, 0.11578947368421053]","[0.64, 0.28, 0.08]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 13:21:28,23533
0.76,0.79,0.79,0.8,Random_Sampling,Claimbuster,XLMR-Base,30,1665,14808,7060,10.11,0.0147035706503581,8.940279913484802e-08,0.0064062517524091,142.50777530670166,0.0045845508575439,"[0.6420420420420421, 0.24324324324324326, 0.11471471471471471]","[0.6, 0.26, 0.14]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 13:25:15,23533
0.81,0.81,0.81,0.81,Random_Sampling,Claimbuster,XLMR-Base,31,1715,14758,7060,10.41,0.0147150936185416,7.428130447132225e-08,0.0063865702267843,146.815274477005,0.0046172142028808,"[0.6408163265306123, 0.2402332361516035, 0.11895043731778426]","[0.58, 0.26, 0.16]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 13:29:06,23533
0.77,0.78,0.78,0.79,Random_Sampling,Claimbuster,XLMR-Base,32,1765,14708,7060,10.71,0.01499542438385,1.0720034418050453e-07,0.0066305551945199,151.15037631988525,0.0065565109252929,"[0.6390934844192635, 0.24079320113314448, 0.12011331444759207]","[0.6, 0.28, 0.12]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 13:33:01,23533
